regressor,beta1_level,beta2_slope,beta3_curvature,pc1_inflacao,pc1_atividade,pc1_fiscal,pc1_risco,pc1_incerteza,pc1_financeiro,bbg_selic
intercept,-0.1950141491086855,0.11027072724286922,1.662399636638518,0.11982335418164598,-2.1025727109941665,-0.08421966423749443,0.24274304290774917,0.32226585823271875,0.015695730700375797,0.04535551057653884
lag1_beta1_level,0.906277675909477,-0.015002211125601586,0.5700994427292017,1.7813954126566405,-0.7159368653180131,-0.19713242679594706,0.06634503842297354,-0.16144445236393698,-0.08290494649561812,0.026129590075807507
lag1_beta2_slope,-0.03882638691919471,0.9416451298761905,0.6871718503632869,1.1093534871896868,-0.3977949221099326,-0.22910359841869388,0.047052266073163165,-0.05932290811130604,-0.11584602289701537,0.0251475766987641
lag1_beta3_curvature,0.017627074173671237,-0.018010968180670547,0.8143535062417421,0.24826599821800668,-0.1143349942873657,-0.031218322312890324,0.013490564584025026,-0.05170844707445385,-0.005954993608843419,0.0036755180776488717
lag1_pc1_inflacao,-0.19658768759890638,0.19414137806059825,0.2916173302063018,0.18157154158166655,-0.0038604642175985,-0.06000027590774822,0.0029759555982618105,0.02524103145473431,0.03287274398175703,-0.002878605248053563
lag1_pc1_atividade,0.012769160092636875,-0.011137802920362686,-0.01838048248232984,0.0760753950851781,0.001995073714197473,-0.02211161165529442,-0.0016694320795166582,0.010262427578369749,0.005565040920229087,-0.0019199635020559444
lag1_pc1_fiscal,0.05254214077513403,-0.045120560490271536,-0.08854021575119356,0.0038113641968377646,-0.019585117414404597,-0.03348715336181742,0.0015961497674498962,-0.00494779364779298,0.0018315479421655402,-0.00357269936945827
lag1_pc1_risco,0.053624079785821704,-0.0762475221307465,0.08095376417852765,-0.1396180423431225,-4.027155073276094e-05,0.028234740320912884,0.846040894218106,0.08456000722478797,0.09699189270754294,-0.01800505630514305
lag1_pc1_incerteza,-0.007238615248211192,0.024829699013537397,0.013207247343031967,-0.11236576287424652,0.05795237555329458,-0.10518879507261003,0.028908821263690147,1.1098645040032853,0.02897614277800469,-0.015972504527470094
lag1_pc1_financeiro,-0.013567336442296905,0.003455874800019408,-0.06538619454097122,0.021586109607088486,0.07502398757349923,-0.11881477339824666,0.015942335797348245,-0.014756668249585169,0.6448911366443416,0.008424385218206055
lag1_bbg_selic,-0.13829575494431887,0.12950867079919576,0.3958636717851597,-0.11079145325836431,-0.1390839475780348,0.1314412351035798,0.2511952409680681,0.043787967211298816,0.045322684270685386,0.8097072600676009
lag2_beta1_level,0.04920694747705809,0.11360459065289363,-0.6731759255762152,-1.889284930549654,0.7686260387527476,0.03390011770624921,-0.08838145767245452,0.1584362125091163,0.09562474022112334,0.05552165800411341
lag2_beta2_slope,0.036313566615997515,0.10628385637828651,-0.7364297206204992,-1.166928781780716,0.3708284161704394,0.11594551153894658,-0.044770188632360056,0.0642426318330418,0.11586946768528478,0.053522318597283645
lag2_beta3_curvature,0.012665479425965475,-0.0043383175577731015,0.08247008949323786,-0.23658211986195912,0.1862062634891313,0.05287826901612827,-0.02308534559277279,0.042581401052941316,0.004473854598398229,-0.0022425283479741175
lag2_pc1_inflacao,-0.007049637992886417,0.01677045916667524,0.022395399877985018,0.21738696774347926,-0.08202068325553374,-0.17509443642492128,0.018391396779841584,0.024232786037552724,0.01680929873570675,0.0004179019858862767
lag2_pc1_atividade,0.003501831444952228,-0.007754260952506222,0.013922108670908167,0.0926649144347647,-0.033963657405785906,-0.05505800195746052,0.0085521044316728,0.025246629089939326,-0.0014962493399207563,-5.899937757374441e-05
lag2_pc1_fiscal,0.04168032848130373,-0.039145310796585016,-0.0855831225763021,-0.021650332119994068,0.00814905646166487,-0.004258710621924362,-0.005398420336565722,-0.0164270283598676,0.01646613265124371,0.0032940862593510995
lag2_pc1_risco,-0.10904422108791878,0.10624075328872995,0.06253366789015385,0.13726423103700022,-0.352590013069639,-0.23957283555112555,0.1151542104068619,-0.06271145082247345,0.01941658262761292,0.02039698280534761
lag2_pc1_incerteza,0.0030087086311063284,-0.020721393989812438,0.03604334673781394,0.1285093896735477,0.030895500240671663,0.14656531806978113,-0.028380897462781794,-0.1400070365212593,-0.029946080122928192,0.013578729495605199
lag2_pc1_financeiro,0.014720810091409763,0.001505629257607886,0.008240211084179844,-0.10382162967484874,0.06034459019658825,0.202974282161297,-0.0146961178617599,0.03157859953911952,0.2976739073395097,-0.006960782813393361
lag2_bbg_selic,0.19314680895322495,-0.23221565347619047,-0.4203210330028111,0.19642188260783938,0.2673413723667303,0.033279377750681925,-0.24690690422398107,-0.06701662191393529,-0.06552597771008713,0.10631311189472838
