eig_real,eig_imag,eig_abs
-0.6165228065943966,0.0,0.6165228065943966
-0.4391234922182431,0.4876246502992235,0.6562067059984875
-0.4391234922182431,-0.4876246502992235,0.6562067059984875
-0.41815312659160186,0.37751662284194987,0.5633567589017844
-0.41815312659160186,-0.37751662284194987,0.5633567589017844
-0.06634809821388295,0.5593890221647694,0.5633099930367433
-0.06634809821388295,-0.5593890221647694,0.5633099930367433
0.4173805886963239,0.36698025249627064,0.5557706915110912
0.4173805886963239,-0.36698025249627064,0.5557706915110912
0.4010263355411623,0.3144164387122128,0.5095878910747816
0.4010263355411623,-0.3144164387122128,0.5095878910747816
0.7184953642706848,0.0,0.7184953642706848
0.931995869498535,0.0,0.931995869498535
0.9519880153311242,0.0,0.9519880153311242
0.997006795143003,0.0,0.997006795143003
