p,aic,valid,reason
1,-3.981647768295307,True,ok
2,-4.055197080154148,True,ok
3,-4.024576105438797,True,ok
4,-3.9477890775788955,True,ok
5,-3.944847826968103,True,ok
6,-3.963647250372739,True,ok
7,-3.9392666399605902,True,ok
8,-3.9343919801715854,True,ok
9,-3.8743258924857242,True,ok
10,-3.809030782052128,True,ok
11,-3.7826637967475665,True,ok
12,-3.6979918266414984,True,ok
