eig_real,eig_imag,eig_abs
0.9928301939909975,0.017526164684612735,0.992984874279943
0.9928301939909975,-0.017526164684612735,0.992984874279943
0.9484646059885282,0.02390818740537173,0.9487658880029279
0.9484646059885282,-0.02390818740537173,0.9487658880029279
0.47644320632503584,0.0,0.47644320632503584
0.23406951192244602,0.11018060658495032,0.2587050491951011
0.23406951192244602,-0.11018060658495032,0.2587050491951011
-0.12114759914695672,0.2553645138816739,0.28264425649408714
-0.12114759914695672,-0.2553645138816739,0.28264425649408714
-0.2543218691105356,0.03856261303335495,0.2572288635278644
-0.2543218691105356,-0.03856261303335495,0.2572288635278644
-0.11717678611089707,0.07033051901218863,0.13666302026445468
-0.11717678611089707,-0.07033051901218863,0.13666302026445468
-0.08356963869966903,0.0,0.08356963869966903
