week_ref,fit_mae,fit_rmse,fit_max_abs_err,rank_X,n_maturities_used,y_obs_1y,y_fit_1y,resid_1y,y_obs_3y,y_fit_3y,resid_3y,y_obs_5y,y_fit_5y,resid_5y,y_obs_10y,y_fit_10y,resid_10y
2009-09-25,0.11593696112170493,0.13484417348384806,0.1929118004967325,3,4,9.7785,9.83478783338289,-0.056287833382890895,12.2722,12.079288199503267,0.1929118004967325,12.8675,13.04308608886052,-0.17558608886051985,13.2191,13.180137878253323,0.03896212174667646
2009-10-02,0.10623519653817093,0.12356022732945246,0.17676867533891105,3,4,9.8162,9.867777589961689,-0.051577589961688375,12.0843,11.90753132466109,0.17676867533891105,12.6478,12.808692803114656,-0.16089280311465615,13.0576,13.021898282262573,0.03570171773742814
2009-10-09,0.1048736511294237,0.12197663859703328,0.17450314954180435,3,4,10.0696,10.120516554513033,-0.050916554513033674,12.1727,11.998196850458196,0.17450314954180435,12.6603,12.819130747745815,-0.15883074774581551,13.0204,12.98515584728296,0.03524415271704129
2009-10-16,0.10627612461035563,0.12360783002675198,0.17683677707299061,3,4,10.0732,10.124797460695623,-0.0515974606956231,12.2998,12.122963222927009,0.17683677707299061,12.8461,13.007054788525089,-0.16095478852508904,13.2562,13.22048452785228,0.03571547214771975
2009-10-23,0.10780166634226385,0.12538215990364326,0.17937518242178996,3,4,9.877,9.929338116979814,-0.052338116979813165,12.4225,12.24312481757821,0.17937518242178996,13.1276,13.29086521570472,-0.16326521570472075,13.6584,13.622171849737269,0.03622815026273152
2009-10-30,0.10994264579927471,0.12787229421916552,0.18293763737905877,3,4,10.0092,10.062577570608633,-0.05337757060863346,12.5251,12.342162362620941,0.18293763737905877,13.2021,13.36860772098992,-0.1665077209899195,13.7116,13.674652345780514,0.03694765421948709
2009-11-06,0.10759501827744167,0.12514181129321444,0.17903133305858354,3,4,9.867,9.919237788562288,-0.052237788562287335,12.3686,12.189568666941417,0.17903133305858354,13.0518,13.214752247992598,-0.16295224799259778,13.5659,13.529741296503701,0.03615870349629802
2009-11-13,0.10718042429021368,0.12465960455777637,0.17834147477890205,3,4,10.0453,10.097336501612473,-0.05203650161247353,12.4654,12.287058525221099,0.17834147477890205,13.1082,13.270524346967951,-0.16232434696795117,13.5917,13.555680626198471,0.036019373801527976
2009-11-20,0.1237668437631525,0.14395096775416844,0.2059402320118,3,4,9.9695,10.029589271037164,-0.06008927103716388,12.5237,12.3177597679882,0.2059402320118,13.1163,13.303744416489153,-0.18744441648915178,13.4971,13.455506544485505,0.04159345551449434
2009-11-27,0.12171948754292039,0.1415697249246767,0.20253356022325875,3,4,10.1194,10.178495271844106,-0.05909527184410557,12.6202,12.417666439776742,0.20253356022325875,13.2081,13.392443703241737,-0.184343703241737,13.6166,13.57569458513742,0.04090541486258026
2009-12-04,0.11142497692357534,0.1295963666232712,0.1854041429986193,3,4,10.2999,10.35399724797929,-0.05409724797929094,12.6372,12.45179585700138,0.1854041429986193,13.2098,13.378552705867857,-0.16875270586785796,13.6351,13.597654189151466,0.037445810848533156
2009-12-11,0.11197670514249003,0.13023807169253834,0.18632218400181166,3,4,10.2514,10.305765114117573,-0.054365114117572944,12.6276,12.441277815998188,0.18632218400181166,13.2176,13.387188296167414,-0.1695882961674151,13.6566,13.618968773716839,0.0376312262831604
2009-12-18,0.10856396718589423,0.12626877816766305,0.18064360300865268,3,4,10.325,10.377708216924287,-0.0527082169242874,12.7804,12.599756396991348,0.18064360300865268,13.4339,13.598319717447506,-0.16441971744750639,13.9262,13.88971566863687,0.03648433136313045
2009-12-25,0.09731058736295894,0.1131801765134368,0.16191868782792085,3,4,10.4245,10.47174465843233,-0.047244658432330056,12.6075,12.445581312172079,0.16191868782792085,13.2629,13.410276516293587,-0.14737651629358695,13.9742,13.941497513102002,0.03270248689799793
2010-01-01,0.10091472991260009,0.11737208924361622,0.16791575400743497,3,4,10.5243,10.573294483279897,-0.04899448327989653,12.6349,12.466984245992565,0.16791575400743497,13.2028,13.355634976545298,-0.15283497654529832,13.7699,13.73598629418223,0.033913705817770534
2010-01-08,0.0997324968374631,0.1159970554292071,0.16594859263865835,3,4,10.3569,10.405320504647811,-0.04842050464781167,12.555,12.389051407361341,0.16594859263865835,13.1753,13.326344489027115,-0.15104448902711454,13.7807,13.747183598963732,0.03351640103626785
2010-01-15,0.09891999122802053,0.11505204491404274,0.16459663448385697,3,4,10.3596,10.407626030099538,-0.04802603009953721,12.5752,12.410603365516144,0.16459663448385697,13.1597,13.30951395235651,-0.1498139523565083,13.6012,13.56795665202782,0.03324334797217965
2010-01-22,0.09007131994107054,0.10476031607645019,0.1498730028356441,3,4,10.5317,10.575429966702316,-0.04372996670231544,12.6461,12.496226997164356,0.1498730028356441,13.2341,13.370512673179825,-0.13641267317982475,13.6916,13.661330362953501,0.030269637046497877
2010-01-29,0.08236962662722958,0.09580261648450776,0.1370578702871299,3,4,10.5095,10.549490765451726,-0.03999076545172642,12.4916,12.35454212971287,0.1370578702871299,13.0835,13.20824848780273,-0.12474848780273007,13.6218,13.594118617032668,0.027681382967331913
2010-02-05,0.07852519502277255,0.09133122791952779,0.1306609782560919,3,4,10.4585,10.49662427935868,-0.03812427935868001,12.2085,12.077839021743909,0.1306609782560919,12.7305,12.849426110686862,-0.11892611068686243,13.2971,13.270710588210545,0.026389411789455863
2010-02-12,0.08685181129550745,0.1010157640532229,0.14451594324462746,3,4,10.4716,10.513766883070808,-0.042166883070807515,12.2108,12.066284056755373,0.14451594324462746,12.7599,12.891436739520206,-0.13153673952020561,13.5712,13.54201232065361,0.029187679346389217
2010-02-19,0.08399405423613215,0.09769195872866794,0.13976081550648267,3,4,10.5079,10.548679431203421,-0.04077943120342198,12.1241,11.984339184493518,0.13976081550648267,12.6683,12.795508677268836,-0.1272086772688361,13.5941,13.565872707034211,0.028227292965787854
2010-02-26,0.08423709862187412,0.0979746392388188,0.1401652260551085,3,4,10.7831,10.823997430172499,-0.04089743017249958,12.3037,12.16353477394489,0.1401652260551085,12.7606,12.888176767071258,-0.12757676707125754,13.5223,13.493991028811369,0.02830897118863085
2010-03-05,0.0950918036625894,0.11059954949577953,0.1582267715105523,3,4,10.7579,10.804067430548912,-0.04616743054891259,12.1538,11.995573228489448,0.1582267715105523,12.5232,12.667216176776268,-0.14401617677626888,13.333,13.301043164185376,0.03195683581462383
2010-03-12,0.09856115040935354,0.11463468367620074,0.16399954596479738,3,4,10.902,10.949851811524052,-0.047851811524052934,12.1668,12.002800454035203,0.16399954596479738,12.421,12.570270489294652,-0.14927048929465236,13.0721,13.03897724514609,0.033122754853911474
2010-03-19,0.10776272768241979,0.1253368710557014,0.1793103909445417,3,4,10.7784,10.830719212113088,-0.05231921211308865,12.2861,12.106789609055458,0.1793103909445417,12.5564,12.719606243251748,-0.16320624325174826,13.0612,13.024984935579699,0.036215064420300536
2010-03-26,0.12004293306104641,0.13961975486144912,0.19974387917073066,3,4,10.9003,10.958581298298306,-0.05828129829830608,12.2781,12.07835612082927,0.19974387917073066,12.4207,12.602504567823784,-0.18180456782378407,12.8631,12.822758013048634,0.04034198695136482
2010-04-02,0.11395036381986134,0.13253359824864627,0.18960622772121205,3,4,10.8898,10.945123332874656,-0.05532333287465718,12.2705,12.080893772278788,0.18960622772121205,12.434,12.606577394765065,-0.1725773947650655,12.8474,12.80910550008149,0.03829449991851064
2010-04-09,0.1128361802568274,0.13123771158564568,0.18775229645417824,3,4,11.0498,11.10458239253822,-0.05478239253822004,12.4035,12.215747703545821,0.18775229645417824,12.5341,12.704989967975433,-0.1708899679754321,12.8532,12.81527993594052,0.03792006405947923
2010-04-16,0.09469822084696045,0.1101417804723596,0.15757187449692722,3,4,11.2501,11.296076344602428,-0.04597634460242794,12.6668,12.509228125503073,0.15757187449692722,12.8595,13.002920097091494,-0.14342009709149295,13.0133,12.981475432803006,0.03182456719699367
2010-04-23,0.11605893058959404,0.13498603395637293,0.1931147500085082,3,4,11.3288,11.385147050021136,-0.05634705002113627,12.78,12.586885249991491,0.1931147500085082,12.8371,13.012870811158049,-0.17577081115804916,12.8095,12.770496888829317,0.03900311117068256
2010-04-30,0.11364931249700927,0.13218345092364028,0.18910529728305647,3,4,11.732,11.787177171318092,-0.05517717131809263,12.7346,12.545494702716944,0.18910529728305647,12.5888,12.760921453675925,-0.17212145367592413,12.459,12.420806672289036,0.03819332771096384
