p,aic,valid,reason
1,-6.39169864916788,True,ok
2,-6.459414170028017,True,ok
3,-6.478027023735212,True,ok
4,-6.432027032023562,True,ok
5,-6.438322116981688,True,ok
6,-6.4122624672427335,True,ok
7,-6.380077856117344,True,ok
8,-6.35720289398261,True,ok
9,-6.278844078580224,True,ok
10,-6.149566117041828,True,ok
11,-6.088575097778197,True,ok
12,-5.956667725596208,True,ok
