eig_real,eig_imag,eig_abs
0.3693477527754091,0.15556301097462755,0.4007712725030785
0.3693477527754091,-0.15556301097462755,0.4007712725030785
-0.36478676955635875,0.0,0.36478676955635875
-0.11994481212801308,0.2634719760263893,0.28948962003442297
-0.11994481212801308,-0.2634719760263893,0.28948962003442297
-0.2807442318838611,0.0,0.2807442318838611
-0.2082204495408284,0.0,0.2082204495408284
-0.1185437902387271,0.060660550428642726,0.13316280480100004
-0.1185437902387271,-0.060660550428642726,0.13316280480100004
-0.05460717426515134,0.12046681005518829,0.13226562594301447
-0.05460717426515134,-0.12046681005518829,0.13226562594301447
0.08545644142948187,0.06671346247649129,0.10841351141528752
0.08545644142948187,-0.06671346247649129,0.10841351141528752
0.9100417433451936,0.0,0.9100417433451936
0.9546555468325153,0.04133243861932262,0.955549885448326
0.9546555468325153,-0.04133243861932262,0.955549885448326
0.9913850933526638,0.015276894649930364,0.9915027921453448
0.9913850933526638,-0.015276894649930364,0.9915027921453448
0.9755355805071468,0.016128408471894232,0.9756688958838712
0.9755355805071468,-0.016128408471894232,0.9756688958838712
