p,aic,valid,reason
1,-3.2166543188368966,True,ok
2,-3.2315179277180692,True,ok
3,-3.241378862787424,True,ok
4,-3.241533109104855,True,ok
5,-3.263835904783835,True,ok
6,-3.249838947879478,True,ok
7,-3.247027950565285,True,ok
8,-3.2415767122214976,True,ok
9,-3.2190306663483095,True,ok
10,-3.20883042557599,True,ok
11,-3.21436741030493,True,ok
12,-3.1892778232885175,True,ok
