component,var_name_final,loading
pc_all_2,bbg_ibov,0.027204161533694968
pc_all_2,bbg_us_5y_breakeven_inflation,0.06805655647950733
pc_all_2,bbg_vix,-0.13234092736338032
pc_all_2,bbg_wheat,0.04133792087936846
pc_all_2,focus_ca_sd,0.048670394308612246
pc_all_2,focus_ca_year_0,-0.084896137256067
pc_all_2,focus_ca_year_1,0.030116345552447132
pc_all_2,focus_ca_year_2,0.022912846602574796
pc_all_2,focus_ca_year_3,0.02009255227422859
pc_all_2,focus_ca_year_4,0.009754178886197845
pc_all_2,focus_fdi_year_0,0.05157649077948549
pc_all_2,focus_fdi_year_1,-0.06422389564419384
pc_all_2,focus_fdi_year_2,-0.03358302923776466
pc_all_2,focus_fdi_year_3,-0.025533823011378368
pc_all_2,focus_fdi_year_4,0.017888970727145136
pc_all_2,focus_fx_brl_year_0,-0.1448882947709903
pc_all_2,focus_fx_brl_year_1,-0.03591569315274715
pc_all_2,focus_fx_brl_year_2,-0.07712813449219598
pc_all_2,focus_fx_brl_year_3,-0.09103327087358873
pc_all_2,focus_fx_brl_year_4,-0.05419672114158141
pc_all_2,focus_gdp_year_0,0.03918066127164202
pc_all_2,focus_gdp_year_1,-0.18826348626879372
pc_all_2,focus_gdp_year_2,-0.13186137052018235
pc_all_2,focus_gdp_year_3,-0.05576329755788051
pc_all_2,focus_gdp_year_4,-0.01687080687231816
pc_all_2,focus_ipca_current_month,0.06769458861422979
pc_all_2,focus_ipca_next_12_average,0.07463660618191509
pc_all_2,focus_ipca_next_12_median,0.07243255788599592
pc_all_2,focus_ipca_year_0,-0.02482493381675847
pc_all_2,focus_ipca_year_1,0.2467759494369636
pc_all_2,focus_ipca_year_2,0.12766984185250968
pc_all_2,focus_ipca_year_3,0.09750667457101608
pc_all_2,focus_ipca_year_4,0.023197570197995822
pc_all_2,focus_net_debt_year_0,-0.22333541017133518
pc_all_2,focus_net_debt_year_1,-0.1831578837779206
pc_all_2,focus_net_debt_year_2,-0.15078926468355158
pc_all_2,focus_net_debt_year_3,-0.12253649282368008
pc_all_2,focus_net_debt_year_4,-0.10935357209350165
pc_all_2,focus_nominal_year_0,0.09327216086745967
pc_all_2,focus_nominal_year_1,-0.1670853684404033
pc_all_2,focus_nominal_year_2,-0.12482494494428661
pc_all_2,focus_nominal_year_3,-0.042669532896755055
pc_all_2,focus_nominal_year_4,0.0012895055589410079
pc_all_2,focus_primary_year_0,0.0993738351840966
pc_all_2,focus_primary_year_1,-0.02993000259389115
pc_all_2,focus_primary_year_2,-0.039636988593618805
pc_all_2,focus_primary_year_3,-0.07595086852072752
pc_all_2,focus_primary_year_4,-0.009883657042787805
pc_all_2,focus_selic_year_0,0.08956087143999415
pc_all_2,focus_selic_year_1,0.2173917024529122
pc_all_2,focus_selic_year_2,0.19844445136767147
pc_all_2,focus_selic_year_3,0.06889818031640793
pc_all_2,focus_selic_year_4,0.08317289788787856
pc_all_2,focus_trade_b_year_0,0.0023324105109284966
pc_all_2,focus_trade_b_year_1,-0.06230640949944027
pc_all_2,focus_trade_b_year_2,-0.09391440736098407
pc_all_2,focus_trade_b_year_3,-0.07342569246092347
pc_all_2,focus_trade_b_year_4,-0.04698539818385979
pc_all_3,bbg_1_month_risk_reversal_option,0.08460855029965274
pc_all_3,bbg_anfavea_bz,-0.2873462647917058
pc_all_3,bbg_bbg_asia_fc,-0.0672557925744224
pc_all_3,bbg_bbg_surprise_growth_us,0.08643595540864102
pc_all_3,bbg_bbg_surprise_inf_bz,0.09565707193815068
pc_all_3,bbg_bbg_surprise_inf_us,0.0295537645714882
pc_all_3,bbg_bbg_surprise_us,0.016574731605936366
pc_all_3,bbg_bbg_us_fc,-0.14371329317156412
pc_all_3,bbg_bz_cds_10y,0.17058114864298818
pc_all_3,bbg_bz_cds_5y,0.16586214725268175
pc_all_3,bbg_citi_em_asia_fc,0.17529277759802814
pc_all_3,bbg_citi_surprise_em,0.10456319352243723
pc_all_3,bbg_citi_surprise_eur,0.05947056016849078
pc_all_3,bbg_citi_surprise_g10,0.10245406328013976
pc_all_3,bbg_citi_surprise_global,0.11541395790526753
pc_all_3,bbg_citi_surprise_latam,0.1340454838298584
pc_all_3,bbg_citi_surprise_us,0.07199919927210292
pc_all_3,bbg_comm,0.016488444656094635
pc_all_3,bbg_energy_future,0.011394109804716638
pc_all_3,bbg_fed_funds,-0.008271532037363345
pc_all_3,bbg_ibov,0.01954094208598047
pc_all_3,bbg_us_5y_breakeven_inflation,0.03325729507910748
pc_all_3,bbg_vix,0.13851353839615044
pc_all_3,bbg_wheat,-0.06305757787715355
pc_all_3,focus_ca_sd,-0.05420185237188269
pc_all_3,focus_ca_year_0,0.1019558814056893
pc_all_3,focus_ca_year_1,0.3825382084039541
pc_all_3,focus_ca_year_2,0.3824561389031765
pc_all_3,focus_ca_year_3,0.3770350843982844
pc_all_3,focus_ca_year_4,0.34895978938653766
pc_all_3,focus_fdi_year_0,-0.07899641001043645
pc_all_3,focus_fdi_year_1,-0.05321904813167314
pc_all_3,focus_fdi_year_2,-0.04398024401549169
pc_all_3,focus_fdi_year_3,-0.028547433014871747
pc_all_3,focus_fdi_year_4,-0.018695830182567853
pc_all_3,focus_fx_brl_year_0,-0.041883674633082665
pc_all_3,focus_fx_brl_year_1,-0.07249641105731573
