p,aic,valid,reason
1,-9.396167497640203,True,ok
2,-9.520263253900165,True,ok
3,-9.516661874882148,True,ok
4,-9.401183813206615,True,ok
5,-9.459277238784644,True,ok
6,-9.41195737019344,True,ok
7,-9.341099091786976,True,ok
8,-9.303232875565147,True,ok
9,-9.218944945542704,True,ok
10,-9.093487955101423,True,ok
11,-9.06927182459094,True,ok
12,-8.888105889812408,True,ok
