regressor,beta1_level,beta2_slope,beta3_curvature,pc_all_1,pc_all_2,pc_all_3,pc_all_4,pc_all_5,bbg_selic
intercept,0.23346167221736472,-0.2865464044683655,0.6894666333348941,0.13784612010384525,-0.24647051604100123,-0.06054329650422859,-0.003948266915223397,0.8185387304280335,0.037095010910391045
lag1_beta1_level,1.1540949547569348,-0.23196203735434062,0.2525438941280008,-1.1373273843895526,0.7263145990898007,-0.2937074295025796,-0.06568996286864283,1.3401246046104074,-0.003976493474147524
lag1_beta2_slope,0.15161165211792527,0.762862164516721,0.4114886368484373,-0.6743932297337073,0.5025630758915669,-0.24012142888888555,0.029838742056640742,0.9047651864990399,0.015749490837884798
lag1_beta3_curvature,0.06766790529932949,-0.06037282723692985,0.7528649726346173,-0.20837751822346864,0.07310372327729782,-0.017834340614856992,-0.08331704319525986,0.21637289500822443,-0.004895827989721971
lag1_pc_all_1,0.0761804349922136,-0.053309206252593076,-0.16034989496210061,0.17176150099195453,0.3513107095787865,0.08099341017961317,-0.24929797013114627,0.013179383014405785,-0.003985495688137518
lag1_pc_all_2,-0.18264056925074185,0.19570820717300474,0.222355939419848,0.3336473343255556,0.39625612908945484,0.04961767201109554,-0.20499400451519803,-0.021076735732466156,0.0032657635304049995
lag1_pc_all_3,-0.16642251649309084,0.10608122415265146,0.36725603913078847,0.1216628955380651,0.02847155052447094,0.7320524383499729,0.23463282075600927,0.1595280208946193,0.012277276321957614
lag1_pc_all_4,-0.1466811211030881,0.10854759957809296,0.2763307796231087,-0.04821934952481515,-0.19668983652016847,0.13369272882309044,0.41212355176737425,-0.011784272494019206,0.0058902166877763465
lag1_pc_all_5,-0.14028455723541236,0.13072377332768398,0.2753842773033158,-0.08946773189717674,0.03370789451772451,0.18556834247800127,-0.12164048120176255,0.3073294598012472,0.0047047669358777815
lag1_bbg_selic,-0.23311807205773075,0.21034589802575723,0.5359404034862028,-0.03206443959282747,-0.276994249210141,0.10770624391919933,-0.24335197038766407,0.2720451675324672,0.7906513288117897
lag2_beta1_level,-0.1863134507819035,0.2316328053843794,0.10744694633224974,2.140515605833242,-0.8504928720273351,0.20633989966376312,0.7492590811753108,-1.4931278124245395,-0.008994489418574569
lag2_beta2_slope,-0.2862344915839595,0.35605206869733275,0.30271378559440565,1.6818312975829948,-0.7469899932448444,0.09679999190246495,0.6314536251732878,-1.0679454591476245,0.009190253389202293
lag2_beta3_curvature,-0.020291430196180772,0.013259703715434914,0.13388387215142936,0.21948444760043626,-0.06053184646406011,0.050405851880449055,0.030442127438758116,-0.15145440180610878,-0.012471989988573481
lag2_pc_all_1,0.041085952523014065,-0.05214169767965694,-0.03979625620934558,0.20838125597346063,0.13946897349810977,-0.017891026961628243,0.05366260098072238,0.0007569891384799797,0.0016430543986602425
lag2_pc_all_2,-0.0002664563868564701,-0.0013292071348948728,0.052095844262539895,0.23364506412641212,0.20072923300042667,-0.049598087911895544,0.11488089960363615,0.013659255797828338,-0.004704963876958583
lag2_pc_all_3,0.01865249005125417,0.01247007482505513,-0.019357130716885433,-0.25476827364698496,0.08159725499701333,-0.0069833698044539875,0.049777866993618976,0.3327184172753319,-0.014407574260475864
lag2_pc_all_4,0.0030105499826461836,0.013591419698223002,0.010339578499000787,-0.2188599209830073,-0.04507770215256143,-0.008343456510667778,0.04261100878585713,0.07458816373305463,-0.007355352275934334
lag2_pc_all_5,0.017351710400583153,-0.0016601143214915095,-0.06694680908019651,-0.22473572599177688,0.09163223123092612,0.0023344668921414027,-0.12013907960543616,0.27237742809344295,0.000780450405216615
lag2_bbg_selic,0.40840889515277184,-0.34536440302178,-0.9837114631932242,-0.1427249806721185,0.2904854873638938,-0.12307530017359809,0.03085214713638782,0.22590468319551035,-0.01690583042654037
lag3_beta1_level,0.05420686042521383,0.03365259499093182,-0.5853221414671961,-1.1884878040299158,0.30932571422878763,0.07344382888219826,-0.6694290260456999,0.18621061236150463,0.10529338688269926
lag3_beta2_slope,0.22073919244800788,-0.157220856928785,-0.9363176624650976,-1.1468717442700396,0.3801122237349382,0.10097314492332754,-0.5975979915627044,0.2678124738561797,0.06470795850436098
lag3_beta3_curvature,-0.025632048750942826,0.032019796320221366,0.032253493714909154,-0.002055449916969626,-0.007165482109101701,-0.04297597982235525,0.06869384697562589,-0.06429337521801595,0.019886948416083697
lag3_pc_all_1,0.053942044189792655,-0.05480680039991567,-0.06400436878722145,-0.025130187768217318,-0.05957211466309237,-0.024428101485586707,0.1013203723200975,-0.01186357231604023,0.004443658432601428
lag3_pc_all_2,0.026897840933663594,-0.0382151971456512,0.005200758735346287,-0.004926563711387005,-0.05450969573442896,-0.07530460860898097,0.20551486060787777,0.035514926831758366,-0.0032663341652064987
lag3_pc_all_3,0.14185136990412925,-0.12059299253828007,-0.3543633491833694,0.29105846168780625,-0.1914671601045228,0.2220741000061879,-0.241215726065319,-0.400797049329901,0.002454645598536623
lag3_pc_all_4,0.029301067663607055,-0.021324189778586966,-0.14539135717288496,0.13355382526208925,0.030611555288505295,0.09134996500472373,-0.052724226188125126,-0.19136696870977815,-0.0013302636726003868
lag3_pc_all_5,0.04002445294922857,-0.04537178097026287,-0.07604526604892334,0.06157020870900451,0.00352036709042317,0.037049276453452115,-0.01613717356879521,0.025124409707485425,-0.0067336242677539185
lag3_bbg_selic,-0.22376516964985016,0.1301411664680989,0.6293070789647524,0.3486843891383907,-0.19186188061925907,0.03683501824931244,0.1792273963067738,-0.5913164841520424,0.13213224662789694
