,NTNB1Y,NTNB3Y,RealPC1
NTNB1Y,1.0,0.9253281941704915,0.9811544715717546
NTNB3Y,0.9253281941704915,1.0,0.9811544715717533
RealPC1,0.9811544715717546,0.9811544715717533,1.0
