,NTNB1Y,NTNB3Y,RealPC1,dRealPC1
2020-12-11,0.028,1.5848,-2.3304384778733214,1.1578225619836635
2025-01-17,7.81,7.85,1.9696962318785831,0.9928981513322146
2015-01-14,5.48025,5.7918,0.6143640588764812,0.9730895533567439
2019-03-27,2.768,3.82,-0.8054903029808438,0.9289291714859769
2013-05-02,2.69615,3.1122,-1.0872076898924208,0.921877996924064
2017-05-18,5.74175,5.85265,0.7031276730013658,0.6847016859003713
2014-05-28,4.63905,5.58615,0.32513833939902725,-0.4335212572083672
2023-06-19,7.55215,5.62985,1.077825356037068,0.3855011396285557
2022-05-06,5.05585,5.56725,0.42346545374471467,-0.3438734969040198
2013-05-31,3.37365,4.11265,-0.5434152384013131,0.3358637935085116
2018-06-07,3.0136,4.99,-0.30774661298930467,0.31002191114362515
2021-10-26,4.4481,4.74435,-0.036582653024927615,0.2917246026758718
2024-02-28,5.93665,5.585,0.6527359908465964,-0.2888969908376918
2013-06-24,4.22155,4.95245,-0.01636575523538848,-0.27845937108061347
2021-10-28,4.46435,5.466,0.23623651293093736,0.272819165955865
2020-04-07,1.6708,2.37455,-1.6210792751322247,0.2705730426765913
2016-01-21,5.09775,6.2141,0.6749165071024763,-0.2670290135931457
2020-05-18,1.22885,1.82025,-1.939199062913705,-0.2533286130277319
2020-03-19,2.16165,1.6479,-1.767568243958338,0.24270779118639862
2020-03-12,1.95665,1.6479,-1.8193910719900137,0.24173453319653526
2015-09-28,7.03095,7.8504,1.7729057883497255,0.22265717804735607
2015-10-02,6.4712,7.00875,1.3180101178399948,-0.2217366439124835
2025-01-30,7.68355,7.59205,1.8416809674679724,-0.21152186315510701
2022-12-28,5.9751,6.1932,0.888923314992958,-0.21019072226367486
2024-12-13,5.0325,7.96205,1.3092826860442344,0.2082287139700083
