,IPCA_12m,IPCA_24m,IPCA_36m,InflPC1,InflPC2
IPCA_12m,1.0,0.7547556413566188,0.5985587554610492,0.8402630533382747,0.5414255666571453
IPCA_24m,0.7547556413566188,1.0,0.9591840744170222,0.986326764084297,-0.13176374361689136
IPCA_36m,0.5985587554610492,0.9591840744170222,1.0,0.9340473540764062,-0.34813894474633467
InflPC1,0.8402630533382747,0.986326764084297,0.9340473540764062,1.0,-7.513392938772296e-05
InflPC2,0.5414255666571453,-0.13176374361689136,-0.34813894474633467,-7.513392938772296e-05,1.0
