,IPCA_12m,IPCA_24m,IPCA_36m,InflPC1,InflPC2,dInflPC2
2022-03-11,5.9218753424657535,3.5945205479452054,3.121232876712329,-1.289519955888681,1.9102403454723806,0.4030115786283399
2004-05-03,5.766994535519126,4.986448087431694,4.804153005464481,1.3713543589589836,0.03531238755446942,-0.23723113432105053
2021-03-12,4.386027397260274,3.4513698630136984,3.25,-2.07490283625806,0.6421027533009265,0.22011453568345501
2022-04-08,6.477370410958904,3.7020331506849313,3.146301369863014,-0.8920405581017579,2.2953002837940972,0.18717459485371402
2016-05-19,6.450928961748634,5.308743169398907,4.808743169398907,2.008333200786019,0.4749986984103594,0.1696620176800585
2023-01-27,5.603890410958905,3.8704109589041096,3.5,-0.8662898925180375,1.2766914833519707,0.1681725611437166
2015-03-06,7.3675342465753415,5.454794520547945,5.164383561643836,2.913645178600829,0.8679903163655157,0.1632746146041314
2025-01-24,5.415743561643835,4.19765095890411,3.888821917808219,-0.32286791540312304,0.7221331952846168,0.15907901947366765
2021-03-11,4.106164383561644,3.452054794520548,3.25,-2.21466900428524,0.42198821761747146,0.15152442567447078
2023-06-30,4.4522389041095884,3.7613150684931504,3.5504109589041097,-1.497550787907636,0.3632266177429056,0.14652788158730543
2016-02-05,7.40655737704918,5.926229508196721,5.225409836065574,3.411115686482456,0.7122090356368224,0.14305371754525031
2015-01-22,6.89682191780822,5.593972602739726,5.46986301369863,3.07256940141364,0.21298954074721746,0.14072014895180035
2015-02-06,6.992876712328767,5.56958904109589,5.26958904109589,2.9218946681998674,0.4558779218554027,0.13632817909691441
2007-01-12,4.067698630136986,4.0,4.0,-1.0786001964405743,-0.3684448110703599,0.13170113506798092
2022-06-10,6.823835616438357,4.06041095890411,3.139770136986302,-0.4017137811987796,2.4681747348020546,-0.12400470719126222
2021-07-23,5.017777534246575,3.492602739726027,3.110329863013699,-1.844316228731895,1.2382799949898906,0.12275007119302228
2015-02-23,7.161506849315068,5.455616438356165,5.170410958904109,2.816363679473397,0.7010312548554256,0.12115670873112416
2012-04-05,5.175409836065573,5.368852459016393,5.0,1.5915403727073418,-0.6979160407611192,-0.1208410808774083
2022-05-20,6.961893150684933,3.8901095890410957,3.154109589041096,-0.4729549324486274,2.614890178872448,0.11711874388945143
2019-04-10,4.072602739726027,3.9315068493150687,3.75,-1.3585962263045128,-0.1445084717557694,0.11451676744928288
2022-01-28,5.23836602739726,3.4616438356164383,3.0,-1.8589780086112533,1.5089573714514817,0.1114186683538374
2022-04-29,6.655980547945205,3.8040816438356164,3.1347945205479455,-0.7208363009550066,2.4150748287068393,0.10700638104780014
2021-10-22,5.276116438356164,3.487349315068493,3.068045205479452,-1.7568108616256097,1.4766575820635925,0.1065393242003354
2012-02-16,5.211748633879782,5.002021857923497,4.844043715846994,1.1420840928580467,-0.4374691424318147,-0.1062044122748223
2020-02-07,3.301912568306011,3.7240437158469946,3.5,-2.1526205966206926,-0.4894668194024413,-0.10468048301619115
